text,sentiment
Очень доволен покупкой,positive
Без впечатлений,neutral
Без впечатлений,neutral
Ужасное качество,negative
"Всё супер, рекомендую",positive
Отличный продукт!,positive
За свою цену нормально,neutral
Без впечатлений,neutral
Ужасное качество,negative
Не советую,negative
Разочарован покупкой,negative
Отличный продукт!,positive
"Всё супер, рекомендую",positive
Без впечатлений,neutral
Лучшее соотношение цена/качество,positive
Доставка очень долгая,negative
Очень доволен покупкой,positive
Могло быть и лучше,neutral
Ужасное качество,negative
Не советую,negative
"Всё супер, рекомендую",positive
Не соответствует описанию,negative
Быстрая доставка,positive
"Всё супер, рекомендую",positive
Отличный продукт!,positive
Не соответствует описанию,negative
Лучшее соотношение цена/качество,positive
Обычный товар,neutral
Доставка очень долгая,negative
Без впечатлений,neutral
Сломалось через неделю,negative
Лучшее соотношение цена/качество,positive
Ужасное качество,negative
Не соответствует описанию,negative
Лучшее соотношение цена/качество,positive
"Всё супер, рекомендую",positive
Разочарован покупкой,negative
Быстрая доставка,positive
Очень доволен покупкой,positive
Лучшее соотношение цена/качество,positive
Очень доволен покупкой,positive
Отличный продукт!,positive
Обычный товар,neutral
Сломалось через неделю,negative
Не соответствует описанию,negative
"Всё супер, рекомендую",positive
"Нормально, но ничего особенного",neutral
Разочарован покупкой,negative
Лучшее соотношение цена/качество,positive
За свою цену нормально,neutral
Могло быть и лучше,neutral
Отличный продукт!,positive
"Всё супер, рекомендую",positive
Средненько,neutral
Очень доволен покупкой,positive
Не советую,negative
Очень доволен покупкой,positive
Не советую,negative
Могло быть и лучше,neutral
"Нормально, но ничего особенного",neutral
Средненько,neutral
Лучшее соотношение цена/качество,positive
Не соответствует описанию,negative
Без впечатлений,neutral
Отличный продукт!,positive
Лучшее соотношение цена/качество,positive
Доставка очень долгая,negative
За свою цену нормально,neutral
Без впечатлений,neutral
Ужасное качество,negative
Могло быть и лучше,neutral
Разочарован покупкой,negative
Не советую,negative
Не советую,negative
За свою цену нормально,neutral
Средненько,neutral
Не советую,negative
Сломалось через неделю,negative
Лучшее соотношение цена/качество,positive
За свою цену нормально,neutral
Доставка очень долгая,negative
Не советую,negative
"Всё супер, рекомендую",positive
Могло быть и лучше,neutral
Сломалось через неделю,negative
Очень доволен покупкой,positive
Не соответствует описанию,negative
Без впечатлений,neutral
Прекрасное качество,positive
"Нормально, но ничего особенного",neutral
Прекрасное качество,positive
Средненько,neutral
Обычный товар,neutral
"Всё супер, рекомендую",positive
Очень доволен покупкой,positive
Средненько,neutral
"Нормально, но ничего особенного",neutral
Лучшее соотношение цена/качество,positive
Ужасное качество,negative
Не соответствует описанию,negative
Доставка очень долгая,negative
За свою цену нормально,neutral
Средненько,neutral
Отличный продукт!,positive
Лучшее соотношение цена/качество,positive
Не советую,negative
Сломалось через неделю,negative
Не соответствует описанию,negative
Быстрая доставка,positive
Не соответствует описанию,negative
Разочарован покупкой,negative
"Нормально, но ничего особенного",neutral
"Всё супер, рекомендую",positive
Лучшее соотношение цена/качество,positive
Очень доволен покупкой,positive
Не советую,negative
